vehicle_count,pedestrian_count,ambulance_present,light_state
11,1,0,GREEN
18,5,0,GREEN
36,16,0,YELLOW
43,2,0,GREEN
48,1,0,GREEN
16,19,1,GREEN
9,7,1,GREEN
48,11,0,YELLOW
46,3,0,GREEN
11,4,1,GREEN
15,12,1,GREEN
23,14,1,GREEN
18,15,1,GREEN
7,9,0,GREEN
30,15,0,RED
20,11,0,RED
16,16,0,RED
22,15,0,RED
36,11,1,GREEN
15,7,0,GREEN
5,19,1,GREEN
7,2,0,GREEN
24,15,0,RED
17,12,0,RED
24,18,0,RED
11,7,0,GREEN
14,4,1,GREEN
25,19,1,GREEN
40,7,1,GREEN
44,11,0,YELLOW
25,0,0,GREEN
46,19,1,GREEN
31,5,0,YELLOW
9,17,0,RED
15,7,1,GREEN
6,6,0,GREEN
16,0,1,GREEN
22,15,0,RED
25,11,1,GREEN
20,5,0,GREEN
21,19,0,RED
6,1,1,GREEN
13,13,0,RED
14,3,0,GREEN
6,0,1,GREEN
8,17,0,RED
47,12,1,GREEN
7,1,0,GREEN
49,8,0,YELLOW
22,1,0,GREEN
28,8,0,GREEN
17,0,1,GREEN
30,10,0,GREEN
29,2,1,GREEN
38,19,0,YELLOW
34,3,0,GREEN
17,17,0,RED
41,5,0,YELLOW
38,2,1,GREEN
16,10,1,GREEN
13,14,1,GREEN
30,4,1,GREEN
23,19,0,RED
34,9,1,GREEN
43,11,1,GREEN
44,14,0,YELLOW
33,16,0,YELLOW
2,9,0,GREEN
36,5,0,YELLOW
42,17,1,GREEN
39,12,1,GREEN
25,2,0,GREEN
22,9,0,GREEN
43,13,0,YELLOW
38,5,1,GREEN
14,2,1,GREEN
48,15,0,YELLOW
3,6,0,GREEN
28,19,1,GREEN
21,13,0,RED
24,8,0,GREEN
12,14,1,GREEN
17,2,0,GREEN
32,1,1,GREEN
15,1,0,GREEN
44,2,0,GREEN
41,17,1,GREEN
43,13,1,GREEN
1,19,0,RED
34,17,1,GREEN
41,9,0,YELLOW
33,1,0,GREEN
29,0,1,GREEN
12,3,0,GREEN
12,13,0,RED
17,0,1,GREEN
31,13,1,GREEN
31,15,0,YELLOW
34,13,1,GREEN
38,19,1,GREEN
45,2,1,GREEN
28,2,1,GREEN
48,8,0,YELLOW
28,5,0,GREEN
43,12,0,YELLOW
15,1,1,GREEN
43,7,1,GREEN
46,1,1,GREEN
9,3,1,GREEN
29,14,1,GREEN
24,3,1,GREEN
38,12,1,GREEN
19,11,0,RED
4,12,0,RED
0,13,1,GREEN
29,19,1,GREEN
48,17,1,GREEN
2,5,0,GREEN
44,10,0,YELLOW
13,1,1,GREEN
29,18,1,GREEN
49,18,0,YELLOW
3,4,0,GREEN
17,18,0,RED
36,1,0,GREEN
24,9,1,GREEN
47,1,0,GREEN
0,10,0,GREEN
45,17,1,GREEN
14,14,0,RED
8,8,0,GREEN
14,18,0,RED
48,8,1,GREEN
23,2,0,GREEN
3,8,1,GREEN
11,13,1,GREEN
36,18,0,YELLOW
36,6,0,YELLOW
42,15,0,YELLOW
5,15,0,RED
38,0,1,GREEN
45,3,0,GREEN
23,3,0,GREEN
10,6,0,GREEN
12,7,1,GREEN
33,16,0,YELLOW
24,4,0,GREEN
6,6,1,GREEN
3,19,1,GREEN
7,19,0,RED
19,3,0,GREEN
28,5,0,GREEN
44,6,0,YELLOW
45,17,0,YELLOW
9,4,1,GREEN
42,19,1,GREEN
33,2,0,GREEN
25,6,0,GREEN
40,13,1,GREEN
48,6,0,YELLOW
2,4,0,GREEN
5,4,0,GREEN
4,1,0,GREEN
4,5,0,GREEN
46,14,1,GREEN
22,9,0,GREEN
48,6,0,YELLOW
8,4,0,GREEN
34,0,1,GREEN
19,12,1,GREEN
48,17,1,GREEN
41,12,1,GREEN
34,17,0,YELLOW
49,4,1,GREEN
17,12,0,RED
16,3,0,GREEN
23,16,1,GREEN
2,2,1,GREEN
31,16,1,GREEN
34,10,1,GREEN
37,19,1,GREEN
12,3,0,GREEN
46,1,1,GREEN
24,19,1,GREEN
8,15,1,GREEN
3,17,0,RED
13,7,1,GREEN
36,2,0,GREEN
33,8,1,GREEN
10,19,1,GREEN
40,5,0,YELLOW
2,9,1,GREEN
27,9,0,GREEN
28,12,0,RED
8,16,0,RED
2,8,1,GREEN
24,16,1,GREEN
33,8,1,GREEN
11,8,0,GREEN
41,0,1,GREEN
8,1,0,GREEN
14,15,1,GREEN
39,0,0,GREEN
24,9,0,GREEN
4,17,0,RED
10,7,1,GREEN
33,10,0,YELLOW
23,1,0,GREEN
14,7,0,GREEN
37,7,0,YELLOW
7,16,0,RED
4,14,0,RED
47,16,1,GREEN
25,12,1,GREEN
17,18,0,RED
5,4,1,GREEN
36,11,1,GREEN
47,0,0,GREEN
12,4,0,GREEN
27,7,0,GREEN
4,12,1,GREEN
12,7,0,GREEN
16,10,1,GREEN
49,0,0,GREEN
39,12,1,GREEN
44,18,0,YELLOW
31,2,0,GREEN
28,16,1,GREEN
2,4,1,GREEN
39,19,1,GREEN
33,7,1,GREEN
39,13,1,GREEN
26,3,1,GREEN
12,10,0,GREEN
44,19,1,GREEN
32,14,0,YELLOW
5,18,0,RED
23,6,1,GREEN
18,18,0,RED
15,18,1,GREEN
39,10,1,GREEN
27,4,0,GREEN
32,4,0,GREEN
47,7,1,GREEN
40,9,1,GREEN
12,5,0,GREEN
42,14,0,YELLOW
44,15,0,YELLOW
24,16,0,RED
41,7,1,GREEN
35,7,1,GREEN
26,8,1,GREEN
37,1,1,GREEN
6,14,0,RED
4,17,0,RED
42,2,1,GREEN
44,16,1,GREEN
30,3,1,GREEN
22,3,1,GREEN
41,13,1,GREEN
9,8,1,GREEN
31,8,1,GREEN
42,17,1,GREEN
29,9,1,GREEN
38,3,0,GREEN
30,11,1,GREEN
17,7,0,GREEN
